sample_year,state_code,region,quarter,mean_varroa,max_varroa,nosema,abpv,amsv1,cbpv,dwv,dwvb,iapv,kbv,lsv2,bip_loss_prev5yrs_list,bip_mean_loss_prev5yrs,nass_mean_loss_prev5yrs,bip_loss,State,"HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES",COLONIES AT FIRST OF QUARTER,"HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES",nass_loss_percent,ID_state,pcpn,tmax,tmin,tmpc,state
2015,AL,Southeast,Q2,2.366,8.0,0.1433333333333333,0.0,0.0,50.0,52.5,0.0,30.0,90.0,38.57142857142857,"[0.7091785523248659, 0.5048497751452139, 0.60318951181211, 0.5382029838231348]",0.5888552057763312,,,ALABAMA,"1,900","7,500",7500.0,860,12.0,0.0,3.2,2.3,42.5,4.1,16.7,680,9.0,0.12,1,0.5755276262746027,0.8358974358974358,0.8324999999999999,0.8434363709353673,AL
2015,AL,Southeast,Q3,4.143,12.09,0.09,90.0,0.0,0.0,61.25,0.0,0.0,40.0,30.0,"[0.7091785523248659, 0.5048497751452139, 0.60318951181211, 0.5382029838231348]",0.5888552057763312,,,ALABAMA,160,"9,000",8500.0,"1,400",16.0,0.0,2.2,2.6,70.6,17.7,63.1,260,3.0,0.16,1,0.519326535451743,0.898168498168498,0.9129166666666666,0.9173022882376556,AL
2015,AL,Southeast,Q4,9.085,10.98,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,30.0,"[0.4723671385085909, 0.6710373381890713, 0.7186462451296507, 0.7124032955564691, 0.5212141601940685]",0.6191336355155701,,,ALABAMA,80,"8,000",8000.0,610,8.0,0.2,2.8,0.2,6.4,1.9,3.1,60,1.0,0.08,1,0.7384396490396017,0.7,0.6900000000000001,0.7009233239662787,AL
2015,AR,South,Q2,2.397272727272727,6.43,0.0136363636363636,0.0,0.0,70.0,56.0,0.0,0.0,0.0,43.333333333333336,"[0.5044053722166479, 0.617919640049565, 0.5765567420714995, 0.5522082354215065]",0.5627724974398047,,,ARKANSAS,"11,500","13,500",13500.0,"1,900",14.0,7.0,27.4,22.6,63.4,9.3,65.9,"5,500",41.0,0.14,4,0.2788712354754565,0.7728937728937728,0.69625,0.7442794058611,AR
2015,AR,South,Q3,3.7483333333333335,8.11,0.0208333333333333,50.0,0.0,90.0,68.18181818181819,0.0,80.0,0.0,45.0,"[0.5044053722166479, 0.617919640049565, 0.5765567420714995, 0.5522082354215065]",0.5627724974398047,,,ARKANSAS,500,"30,000",23000.0,"9,000",30.0,0.9,1.8,5.0,32.4,1.4,69.2,210,1.0,0.3,4,0.2516006639791321,0.8941391941391941,0.8229166666666667,0.8715375351264552,AR
2015,CA,West,Q1,0.7911764705882354,5.45,2.4176470588235297,48.333333333333336,0.0,30.0,61.333333333333336,0.0,30.0,80.0,72.85714285714286,"[0.4419736282712049, 0.37833815772725055, 0.36733201887290123, 0.5963255626497236, 0.4712014474370305]",0.4510341629916222,,,CALIFORNIA,"250,000","1,690,000",1440000.0,"255,000",15.0,3.0,6.5,7.5,7.2,2.8,24.7,"124,000",7.0,0.15,5,0.2940479013516718,0.436996336996337,0.3295833333333333,0.3829787234042553,CA
2015,CA,West,Q2,0.8990909090909092,5.17,0.2,30.0,0.0,60.0,30.0,0.0,40.0,30.0,32.5,"[0.5697559304556725, 0.6440451296466143, 0.5480833950811825, 0.563439967346004]",0.5813311056323683,,,CALIFORNIA,"170,000","1,050,000",1040000.0,"104,000",10.0,7.8,14.2,23.0,21.5,3.1,50.9,"285,000",27.0,0.1,5,0.4417832582404553,0.6494505494505495,0.5675,0.6142111601766359,CA
2015,CA,West,Q4,1.95,11.76,0.1166666666666666,53.75,0.0,0.0,58.57142857142857,0.0,30.0,50.0,60.0,"[0.37833815772725055, 0.36733201887290123, 0.5963255626497236, 0.4712014474370305, 0.5549639308138364]",0.47363222350014844,,,CALIFORNIA,"39,000","1,260,000",750000.0,"149,000",12.0,6.2,10.5,11.7,12.7,7.3,37.3,"75,000",6.0,0.12,5,0.344320607066635,0.4684981684981685,0.3758333333333333,0.4227217984745082,CA
2015,CT,Northeast,Q2,0.39,0.78,3.1750000000000003,0.0,0.0,0.0,30.0,0.0,0.0,0.0,80.0,"[0.6891324149059846, 0.7358647281023128, 0.6578116501743623, 0.6803900226300678]",0.6907997039531819,,,CONNECTICUT,"1,100","3,000",3000.0,80,3.0,1.9,1.0,0.8,0.4,0.7,10.2,150,5.0,0.03,7,0.5496798672041736,0.7520146520146519,0.7529166666666668,0.7595343235648334,CT
2015,CT,Northeast,Q3,2.3286363636363636,16.19,0.1318181818181818,0.0,0.0,30.0,40.0,0.0,0.0,0.0,46.0,"[0.6891324149059846, 0.7358647281023128, 0.6578116501743623, 0.6803900226300678]",0.6907997039531819,,,CONNECTICUT,190,"3,700",3700.0,50,1.0,0.4,7.8,1.5,1.2,0.0,39.3,440,12.0,0.01,7,0.4477116433483519,0.8483516483516482,0.8774999999999998,0.8731433159373746,CT
