"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-07-14",,"85","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-07-15",,"82","82"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-07-18",,"84","77"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-07-19",,"85","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-07-22",,"84","77"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-07-23",,"87","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-07-24",,"84","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-07-25",,"80","77"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-07-26",,"81","77"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-07-27",,"84","77"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-07-28",,"79","77"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-07-30",,"77","77"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-07-31",,"84","84"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-02",,"81","80"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-03",,"83","77"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-04",,"82","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-05",,"84","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-06",,"83","77"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-07",,"82","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-08",,"84","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-09",,"81","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-11",,"79","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-12",,"81","80"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-14",,"81","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-15",,"85","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-18",,"87","80"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-20",,"84","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-24",,"85","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-27",,"83","83"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-29",,"85","85"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-30",,"84","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-08-31",,"83","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-02",,"78","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-03",,"84","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-05",,"84","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-06",,"84","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-07",,"85","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-08",,"85","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-09",,"77","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-11",,"79","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-19",,"84","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-20",,"83","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-23",,"84","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-25",,"81","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-26",,"83","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-09-28",,"84","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-10-12",,"84","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-10-20",,"81","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-10-21",,"83","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-05",,"84","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-07",,"85","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-08",,"85","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-09",,"80","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-10",,"79","79"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-11",,"78","77"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-13",,"82","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-14",,"81","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-17",,"83","77"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-18",,"79","74"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-19",,"81","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-20",,"81","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-21",,"80","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-22",,"79","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-23",,"82","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-24",,"80","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-25",,"82","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-11-27",,"81","81"
"USW00022519","KANEOHE BAY MCAS, HI US","2020-12-04",,"80","76"
